Limbs,Function,Protected
48,bn_copy, 60
48,bn_eq, 100
48,bn_muln, 2240
48,bn_set0, 40
48,bn_sqrn, 2800
48,bn_subn, 120
48,bn_test0, 60
49,bn_addn, 120
49,bn_copy, 60
49,bn_eq, 100
49,bn_muln, 2380
49,bn_set0, 40
49,bn_sqrn, 2920
49,bn_subn, 120
49,bn_test0, 60
50,bn_addn, 120
50,bn_copy, 60
50,bn_eq, 100
50,bn_muln, 2480
50,bn_set0, 40
50,bn_sqrn, 3040
50,bn_subn, 120
50,bn_test0, 60
